id,name,RightVolumeML,Code,Product,LeftVolumeML,Score,Method
243,Vimto Bottle,,,,,,right_to_left
244,Vimto Zero,,,,,,right_to_left
246,KP Dry Roasted,,,,,,right_to_left
247,Aero Mint Chocolate,,,,,,right_to_left
248,Crunchie,,,,,,right_to_left
249,Dairy Milk 45g,,,,,,right_to_left
250,Haribo Starmix,,,,,,right_to_left
251,Haribo Supamix,,,,,,right_to_left
252,Haribo Tangfastic,,,,,,right_to_left
253,Galaxy Chocolate Bar,,,,,,right_to_left
254,Kit Kat 2 Finger,,,,,,right_to_left
255,Maltesers,,,,,,right_to_left
256,Mars Bar,,,,,,right_to_left
257,Minstrels,,,,,,right_to_left
258,Maoam Pinballs,,,,,,right_to_left
259,Snickers,,,,,,right_to_left
260,Twirl,,,,,,right_to_left
261,Twix,,,,,,right_to_left
262,Patron Reposado Tequilla ,,,,,,right_to_left
263,Three Barrels,,010891,THREE BARRELS,,1.0,right_to_left
264,Nelsons Gin,,012621,NELSONS GIN,,1.0,right_to_left
265,Nelsons Temir Gin,,,,,,right_to_left
266,Nelsons Rhubarb & Custard Gin,,,,,,right_to_left
267,Disaronno Velvet,,,,,,right_to_left
268,Ginger Beer Post Mix,,,,,,right_to_left
269,Koppaberg Strawberry & Lime 0.0% 500ml Bottle,,064881,KOPPABERG ST/LIME,,1.0,right_to_left
270,Koppaberg Mixed Fruit 0.0% 500ml Bottle,,064851,KOPPABERG M/FRUIT,,1.0,right_to_left
271,Old Mout Berries & Cherries 500ml Bottle,,,,,,right_to_left
272,Fanta Lemon Bottle,,,,,,right_to_left
273,Fanta Fruit Twist,,,,,,right_to_left
274,Ribena Light Strawberry,,,,,,right_to_left
275,Ribena Light Mango,,,,,,right_to_left
276,Galaxy Caramel,,,,,,right_to_left
277,Four Pillars Gin,,012306,FOUR PILLARS GIN,,1.0,right_to_left
278,Nelsons Rum - Signature,,,,,,right_to_left
279,Nelsons Rum - Chocolate,,,,,,right_to_left
280,Nelsons Rum - Pineapple,,,,,,right_to_left
281,Red Door Gin,,,,,,right_to_left
282,Rugby Gin,,,,,,right_to_left
283,Grey Goose Vodka,,019834,GREY GOOSE VODKA,,1.0,right_to_left
284,De Kuyper Blue Curacao,,,,,,right_to_left
285,Dairy Milk - Little Bars,,,,,,right_to_left
286,Giant Triple Choc Cookie,,,,,,right_to_left
287,Giant Fruit & Oat Cookie,,,,,,right_to_left
288,Smith's Scampi Fries,,,,,,right_to_left
289,Smith's Bacon Fries,,,,,,right_to_left
290,Midlands Pork Scratchings,,,,,,right_to_left
291,Lucozade Sport - L& L,,,,,,right_to_left
293,Lucozade Sport - Lemon & Lime,,,,,,right_to_left
294,Guinness 0.0% 440ml Can,,,,,,right_to_left
295,Vilarnau 0.0% Sparkling White Wine 750ml Bottle,,,,,,right_to_left
297,Cantina Trevigiana Prosecco 750ml Bottle,,,,,,right_to_left
298,Patron Silver Tequilla ,,,,,,right_to_left
299,Di Maria Rose Prosecco 200ml Bottle,,,,,,right_to_left
300,Cantina Trevigiana Prosecco 200ml Bottle,,,,,,right_to_left
302,Oasis Exotic Fruits Zero 500ml,,,,,,right_to_left
303,Pepsi Max 500ml Bottle,,,,,,right_to_left
304,Redbull 250ml Can,,,,,,right_to_left
305,Wray & Nephew 70cl Bottle,,,,,,right_to_left
306,Mulled Wine 1500ml Bottle,,,,,,right_to_left
307,Smirnoff Miami Peach Vodka 70cl,,,,,,right_to_left
308,Large Pork Sausage,,,,,,right_to_left
