Venners_Code,Venners_Name,Venners_Size,Stock,Venners_Cost,Venners_Value,Stock_Id,Stock_Name,Suggested_Name
012949,W/NEIL BLK CHERRY,700ml,0,18.33,53.16,170,Whitley Neill Black Cherry Gin,Whitley Neill Black Cherry Gein 700ml [012949]
012947,W/NEIL DIST CUT,700ml,0,17.49,20.99,169,Whitley Neill DC Gin,Whitley Neill Distilers Cut Gin 700ml [012947]
012953,W/NEIL GOOSEBERRY,700ml,0,22.84,4.57,172,Whitley Neill Gooseberry Gin,Whitley Neill Gooseberry 700ml [012953]
012954,W/NEIL PINEAPPLE,700ml,0,17.49,36.73,173,Whitley Neil Pineapple Gin,Whitley Neill Pineapple Gin 700ml [012954]
012955,W/NEIL PINK GRAPE,700ml,0,17.49,5.25,174,Whitley Neill Pink Grape Gin,Whitley Neill Pink Grape Gin 700ml [012955]
012957,W/NEIL RASPBERRY,700ml,0,22.84,67.38,175,Whitley Neill Raspberry Gin,Whitley Neill Raspberry Gin 700ml [012957]
012959,W/NEIL RHUBARB,700ml,0,19.06,17.15,176,Whitley Neill Rhubarb Gin,Whitley Neill Rhubarb Gin 700ml [012959]
012941,WHITNEY NEIL GIN,700ml,0,17.49,1.75,63,Whitley Neill Gin,Whitley Neill Gin 700ml [012941]
019832,WRAY & NEPHEW RUM,700ml,0,24.22,92.04,305,Wray & Nephew 70cl Bottle,Wray Nephew Rum 700ml [019832]
013951,Whyte & Mackay,700ml,0,21.37,47.01,123,Whyte & Mackay Whisky,Whyte Mackay Whisky 700ml [013951]
036521,Aotearoa Sauvignon Blanc 750ml Bottle,750ml,0,0,0,206,Aotearoa Sauvignon Blanc 750ml Bottle,Aotearoa Sauvignon Blanc 750ml [036521]
030221,BEAUJOLAIS VILLAGE BOT,750ml,0,8.29,58.03,121,Louis Jadot Beaujolais Villages 750ml Bottle,Beaujolais Village 750ml [030221]
025201,BRISTOL CREAM,750ml,0,10.47,3.14,129,Harveys Bristol Cream ,Bristol Cream 750ml [025201]
030421,CAB SAUV BROOKFORD BOT,750ml,0,6.1,36.6,192,Brookford Cabernet Sauv,Brookford Cabernet Sauvignon [030421]
038651,CAVA LACRIMA BOT,750ml,0,6.63,6.63,209,Cava Lacrima,Cava Lacrima 750ml [038651]
030511,CHARD BROOKFORD BOT,750ml,0,6.1,106.75,110,Brookford Chardonnay 750ml Bottle,Chardonnay Brookford 750ml [030511]
030551,CHARD MACON VILLAGE BOT,750ml,0,9.13,54.78,112,Rochebin Macon Chardonnay 750ml Bottle,Chardonnay Macon Village 750ml [030551]
030571,CHARD OUDE KAAP BOT,750ml,0,5.49,98.82,193,Oude Kaap Chardonnay 750ml Bottle,Chardonnay Oude Kaap 750ml [030571]
030651,CHENIN OUDE KAAP BOT,750ml,0,5.28,116.16,194,Oude Kaap Chenin Blanc 750ml Bottle,Chenin Oude Kaap 750ml [030651]
021221,CINZANO BIANCO,750ml,0,6.73,6.06,34,Cinzano Bianco,Cinzano Bianco 750ml [021221]
022451,COCKBURNS SPECIAL,750ml,0,14.23,5.69,189,Cockburns Special,Cockburns Special 750ml [022451]
999018,Cantina Trevigiana Rose Prosecco 75cl Bottle,750ml,9.00,6.95,62.55,214,Cantina Trevigiana Rose Prosecco 75cl Bottle,Cantina Trevigiana Rose Prosecco 750ml [999018]
034221,MALBEC DESPACITO BOT,750ml,0,7.06,144.02,115,Despacito Malbec 750ml Bottle,Despacito Malbec 750ml [034221]
034321,MALBEC HERMANDAD BOT,750ml,0,14.84,14.84,117,Hermandad Malbec 750ml Bottle,Hermandad Malbec 750ml [034321]
034421,MALBEC WHITE BOT,750ml,0,7.75,34.88,196,Land of Malbec White Malbec 750ml,Malbec White 750ml [034421]
034531,MERLOT CASA SANTI BOT,750ml,0,6.33,52.54,197,Casa Santiago Merlot 750ml Bottle,Casa Santiago Merlot 750ml [034531]
023761,NIEPOORT RUBY PORT,750ml,0,14.23,12.81,120,Niepoort Port,Niepoort Ruby Port 750ml [023761]
034671,P/GRIGIO TREV ROSE BOT,750ml,0,5.72,108.11,107,Cantina Trevigiana Pinot Grigio Blush 750ml Bottle,Trevigian Pinot Grigio Rose 750ml [034671]
034661,P/GRIGIO TREVIGIAN BOT,750ml,0,5.72,80.08,108,Cantina Trevigiana Pinot Grigio 750ml Bottle,Trevigian Pinot Grigio White 750ml [034661]
034811,P/NOIR ARTE NOBLE BOT,750ml,0,5.95,47.6,202,Arte Noble Reserve Pino Noir 75cl Bottle,Arte Noble Pinot Noir 750ml [034811]
034821,P/NOIR BOURG BOT,750ml,0,0.01,0.09,203,Pino Noir Bourgogne,Bourgogne Pinot Noir 750ml [034821]
038881,PROSECCO TREV ROSE BOT,750ml,0,6.95,76.45,211,75cl Trevigiana Prosecco Rose,Trevigiana Prosecco Rose 750ml [038881]
038871,PROSECCO TREVIGIAN BOT,750ml,0,6.95,215.45,297,Cantina Trevigiana Prosecco 750ml Bottle,Trevigian Prosecco White 750ml [038871]
035321,RIOJA CHOZA BOT,750ml,0,9.18,174.42,205,Choza Rioja Crianza 750ml Bottle,Choza Rioja 750ml [035321]
036551,SAUV BLNC INVINIT BOT,750ml,0,9.18,27.54,111,Inviniti Sauvignon Blanc,Invinit Sauvignon Blanc 750ml [036551]
036571,SAUV BLNC OUDE KAAP BOT,750ml,0,6.1,36.6,207,Oude Kaap Sauvignon Blanc 750ml Bottle,Oude Kaap Sauvignon Blanc 750ml [036571]
036591,SAUV BLNC SANTIAGO BOT,750ml,0,6.33,99.38,208,Casa Santiago Sauvignon Blanc 750ml Bottle,Santiago Sauvignon Blanc 750ml [036591]
024561,TAYLORS TAWNY PORT,750ml,0,12.6,22.68,61,Taylors Fine Ruby Port,Taylors Tawny Port 750ml [024561]
037851,ZINF HILMASPRINGS BOT,750ml,0,6.1,128.1,106,Hilmar Springs White Zinfandel 750ml Bottle,Hilmar Springs Zinfandel 750ml [037851]
036851,SHIRAZ BROOKFORD BOT,750ml,0,5.29,150.24,114,Brookford Shiraz Cabernet ,Brookford Shiraz 750ml [036851]
075100,BELU WATER,BOTTLE,0,11.74,15.26,222,Belu Sparkling Water,Belu Water [075100]
064851,KOPPABERG M/FRUIT,BOTTLE,0,22.49,35.98,10,Koppaberg Mixed Fruit 500ml Bottle,Koppaberg Mixed Fruit 0% [064851]
064891,KOPPABERG S/L 0%,BOTTLE,0,22.31,84.78,269,Koppaberg Strawberry & Lime 0.0% 500ml Bottle,Koppaberg Strawberry & Lime 0% [064891]
064881,KOPPABERG ST/LIME,BOTTLE,0,22.47,120.44,149,Koppaberg Strawberry & Lime 500ml Bottle,Koppaberg Strawberry & Lime [064881]
065371,OLD MOUT KIWI,BOTTLE,0,17.9,16.11,150,Old Mout Kiwi & Lime 500ml Bottle,Old Mout Kiwi 500ml [065371]
055071,PERONI 0%,BOTTLE,0,14.06,46.4,148,Peroni Nastro Azzuro 0.0% 330ml Bottle,Peroni 0 330ml [055071]
055061,PERONI N/AZZURO,BOTTLE,0,13.79,70.33,215,Peroni Nastro Azzuro 330ml Bottle,Peroni N Azzuro 330ml [055061]
