Code,StockItemId,CSV_Name,CSV_Size,PreferredTU,ChosenTU,ChosenTU_Id,Quantity,UnitCost,LinePrice
040007,362,BREAD HOVIS BROWN,EAC,Loaf 800g,Loaf 800g,660,2.5,1.9,4.75
040008,363,BREAD HOVIS WHITE,EAC,Loaf 800g,Loaf 800g,661,1.0,1.9,1.9
040029,364,BREAD ROLL GF,EAC,Roll 80g,Roll 80g,662,15.0,1.06,15.9
040009,365,BRIOCHE BUN SLCD,EAC,Bun 60g,Bun 60g,663,18.0,0.36,6.48
040010,366,BUN FLOURED,EAC,Bun 70g,Bun 70g,664,92.0,0.38,34.96
040027,367,GARLIC BREAD,BOX,Box 900g,Box 900g,665,1.0,28.22,28.22
040012,368,NAAN BREAD,EAC,Naan 120g,Naan 120g,666,25.0,0.64,16.0
040030,369,SABLES CASES 8.5CM,BOX,Box 1kg,Box 1kg,667,1.0,37.08,37.08
040021,370,SOUP ROLLS,EAC,Roll 65g,Roll 65g,668,18.0,0.25,4.5
040022,371,TEA CAKES,EAC,Teacake 70g,Teacake 70g,669,24.0,0.46,11.04
040023,372,TORTILLA WRAPS,PKT,Packet 370g,Packet 370g,670,6.0,2.98,17.88
050012,373,C/CAKE TRILLIONAIRE,PTN,Portion 140g,Portion 140g,671,10.0,1.68,16.8
050014,374,CHOCOLATE FUDGE CAKE GF,PTN,Portion 120g,Portion 120g,672,14.0,0.97,13.58
050015,375,CHOCOLATE PUDDING,EAC,Each 110g,Each 110g,673,12.0,1.01,12.12
050002,376,CHRISTMAS PUD,EAC,Each 105g,Each 105g,674,9.0,1.05,9.45
050005,377,H/M BROWNIE,PTN,Pack 250ml,Pack 250ml,675,47.0,1.09,51.23
050006,378,H/M CRUMBLE,PTN,Pack 250ml,Pack 250ml,676,2.0,1.0,2.0
050011,379,I/C SORBET YORVALE,2LT,Pack 60.0L,Pack 60.0L,677,1.5,15.56,23.34
050007,380,I/C VANILLA C/NISH 5LT,TUB,Tub 60.0L,Tub 60.0L,678,1.4,24.08,33.71
050009,381,MINCE PIES,X6,Box 420g,Box 420g,679,2.0,1.55,3.1
050010,382,STICKY TOFFEE PUDS,EAC,Each 120g,Each 120g,680,8.0,1.58,12.64
050013,383,VICTORIA SPONGE GF,PTN,Portion 120g,Portion 120g,681,14.0,1.91,26.74
060001,384,APPLES,EAC,Each 180g,Each 180g,682,11.0,0.55,6.05
060058,385,ASPARAGUS,BNC,Bunch 250g,Bunch 250g,683,8.0,2.8,22.4
060004,386,CABBAGE WHITE,EAC,Each 800g,Each 800g,684,5.5,1.69,9.3
060005,387,CARROT,KGS,Pack 1kg,Pack 1kg,685,10.0,1.15,11.5
060056,388,CARROTS RAINBOW,PUN,Punnet 300g,Punnet 300g,686,6.0,3.29,19.74
060057,389,CELERY,HED,Head 400g,Head 400g,687,2.0,1.45,2.9
060007,390,CRESS,PUN,Punnet 100g,Punnet 100g,688,2.0,0.29,0.58
060008,391,CUCUMBER,EAC,Each 300g,Each 300g,689,9.0,1.19,10.71
060009,392,FZ BROCOLLI 2.5KG,BAG,Bag 2.5kg,Bag 2.5kg,690,12.0,5.68,68.16
060013,393,FZ CAULI 1KG,BAG,Bag 1kg,Bag 1kg,691,1.0,1.0,1.0
060014,394,FZ CHIPS CHUNKY 2.5KG,BAG,Bag 2.5kg,Bag 2.5kg,692,12.0,4.25,51.0
060016,395,FZ CHIPS SKIN ON,2.5,Pack 2.25kg,Pack 2.25kg,693,1.0,3.77,3.77
060019,396,FZ HASH BROWN 2.5,BAG,Bag 250ml,Bag 250ml,694,2.5,9.97,24.93
060020,397,FZ MASH POTATO 2.5,BAG,Bag 250ml,Bag 250ml,695,1.5,5.93,8.9
060026,398,FZ PEAS FANCY 1KG,BAG,Bag 1kg,Bag 1kg,696,11.5,2.47,28.41
060028,399,FZ POTATO ROAST 2.5K,BAG,Bag 2.25kg,Bag 2.25kg,697,3.0,7.39,22.17
060033,400,FZ SWEET POTATO 2.5K,BAG,Bag 2.25kg,Bag 2.25kg,698,1.5,14.37,21.56
060035,401,FZ TWISTER FRIES 2.5K,BAG,Bag 2.25kg,Bag 2.25kg,699,2.0,7.97,15.94
060036,402,GARLIC STRING,EAC,String 250g,String 250g,700,50.0,0.32,16.0
060037,403,GRAPES,PUN,Punnet 500g,Punnet 500g,701,1.0,2.6,2.6
060038,404,HERBS FRESH,BUN,Bunch 30g,Bunch 30g,702,11.5,1.85,21.28
060059,405,LEEKS,KGS,Pack 1kg,Pack 1kg,703,3.0,1.27,3.81
060039,406,LEMONS,EAC,Each 120g,Each 120g,704,12.0,0.56,6.72
060040,407,LETTUCE BABY GEM,PKT,Packet 250g,Packet 250g,705,6.0,1.45,8.7
060041,408,MUSHROOMS,KGS,Pack 1kg,Pack 1kg,706,3.0,3.78,11.34
060060,409,ONION SPRING,BCH,Bunch 100g,Bunch 100g,707,3.0,0.69,2.07
060042,410,ONIONS RED,KGS,Pack 1kg,Pack 1kg,708,6.0,1.45,8.7
060061,411,PARSNIPS,KGS,Pack 1kg,Pack 1kg,709,5.0,2.01,10.05
060045,412,PEA SHOOTS,100,Pack 100g,Pack 100g,710,2.0,1.89,3.78
060046,413,PEPPERS,KGS,Pack 1kg,Pack 1kg,711,2.0,4.22,8.44
060047,414,POTATOES BABY NEW,10K,Bag 10kg,Bag 10kg,712,0.1,16.54,1.65
060049,415,POTATOES MARIS,25K,Bag 25kg,Bag 25kg,713,0.8,20.0,16.0
060050,416,RADISH,BAG,Bag 250g,Bag 250g,714,3.0,0.69,2.07
060052,417,SALAD MIX 500G,BAG,Bag 500g,Bag 500g,715,3.0,4.59,13.77
060053,418,STRAWBERRIES,PUN,Punnet 400g,Punnet 400g,716,0.5,3.5,1.75
060054,419,TOMATO CHERRY 3KG,TRY,Pack 3.0kg,Pack 3.0kg,717,1.0,16.95,16.95
070004,420,COCOA FANTASY,1KG,Pack 1kg,Pack 1kg,718,13.0,4.6,59.8
070005,421,COFFEE BEAN LAVAZ,1KG,Pack 1kg,Pack 1kg,719,4.0,15.29,61.16
070008,422,MILLFRESH MILK,500,Bottle 500ml,Bottle 500ml,720,25.0,4.08,102.0
070010,423,NESCAFE DECAF 500,TIN,Tin 500g,Tin 500g,721,2.0,21.12,42.24
070012,424,TEABAG TETLEY 1100,BAG,Bag 2.75kg,Bag 2.75kg,722,4.1,26.09,106.97
080001,425,APPLE SCE 2.35,TUB,Tub 2.35L,Tub 2.35L,723,1.3,10.44,13.57
080002,426,BALSAMIC GLAZE,500,Squeezy 500ml,Squeezy 500ml,724,4.5,7.08,31.86
080004,427,BBQ LTR,BOT,Bottle 1L,Bottle 1L,725,2.3,2.0,4.6
080005,428,BBQ SAUCE 2.3,TUB,Tub 342g,Tub 342g,726,1.0,8.96,8.96
