LeftKey,LeftName,LeftVolumeML,RightKey,RightName,RightVolumeML,Score,Rank
036551,SAUV BLNC INVINIT BOT,,206,Aotearoa Sauvignon Blanc 750ml Bottle,,0.9,2
036571,SAUV BLNC OUDE KAAP BOT,,207,Oude Kaap Sauvignon Blanc 750ml Bottle,,1.0,1
036571,SAUV BLNC OUDE KAAP BOT,,194,Oude Kaap Chenin Blanc 750ml Bottle,,0.9,2
036591,SAUV BLNC SANTIAGO BOT,,111,Inviniti Sauvignon Blanc,,0.9,1
036591,SAUV BLNC SANTIAGO BOT,,206,Aotearoa Sauvignon Blanc 750ml Bottle,,0.9,2
036591,SAUV BLNC SANTIAGO BOT,,208,Casa Santiago Sauvignon Blanc 750ml Bottle,,0.9,3
099713,SCAMPI FRIES DOZ,,288,Smith's Scampi Fries,,0.91,1
099713,SCAMPI FRIES DOZ,,289,Smith's Bacon Fries,,0.91,2
036851,SHIRAZ BROOKFORD BOT,,114,Brookford Shiraz Cabernet ,,0.9,1
019835,SMIRNOFF PEACH,,307,Smirnoff Miami Peach Vodka 70cl,,0.9,1
016801,SMIRNOFF RED,,57,Smirnoff Red Label Vodka,,0.9,1
099351,SNICKERS DOZ,,259,Snickers,,1.0,1
015501,SOUTHERN COMFORT,,58,Southern Comfort,,1.0,1
075701,SPRINGBOURNE WATER,,223,Springbourne Water,,1.0,1
014841,TALISKER,,59,Talisker Malt Whisky 10YO,,1.0,1
019697,TEQ DEAD MAN RASP,,186,Dead Man Fingers Blue Raspberry Rum,,0.9,1
019785,TEQ PATRON SILVER,,298,Patron Silver Tequilla ,,1.0,1
019785,TEQ PATRON SILVER,,262,Patron Reposado Tequilla ,,0.9,2
019793,TEQ ROSE,,187,Tequilla Rose,,1.0,1
010891,THREE BARRELS,,263,Three Barrels,,1.0,1
012931,W/NEIL APRICOT PINK,,168,Whitley Neill Pink Apricot Gin,,1.0,1
012950,W/NEIL B/ORANGE,,171,Whitley Neill Blood Orange Gin,,1.0,1
012949,W/NEIL BLK CHERRY,,170,Whitley Neill Black Cherry Gin,,1.0,1
012953,W/NEIL GOOSEBERRY,,172,Whitley Neill Gooseberry Gin,,1.0,1
012953,W/NEIL GOOSEBERRY,,63,Whitley Neill Gin,,0.9,2
012953,W/NEIL GOOSEBERRY,,169,Whitley Neill DC Gin,,0.9,3
012954,W/NEIL PINEAPPLE,,173,Whitley Neil Pineapple Gin,,1.0,1
012954,W/NEIL PINEAPPLE,,63,Whitley Neill Gin,,0.9,2
012954,W/NEIL PINEAPPLE,,169,Whitley Neill DC Gin,,0.9,3
012955,W/NEIL PINK GRAPE,,174,Whitley Neill Pink Grape Gin,,1.0,1
012957,W/NEIL RASPBERRY,,175,Whitley Neill Raspberry Gin,,1.0,1
012957,W/NEIL RASPBERRY,,63,Whitley Neill Gin,,0.9,2
012957,W/NEIL RASPBERRY,,169,Whitley Neill DC Gin,,0.9,3
012959,W/NEIL RHUBARB,,176,Whitley Neill Rhubarb Gin,,1.0,1
012941,WHITNEY NEIL GIN,,63,Whitley Neill Gin,,1.0,1
012941,WHITNEY NEIL GIN,,169,Whitley Neill DC Gin,,0.9,2
012941,WHITNEY NEIL GIN,,172,Whitley Neill Gooseberry Gin,,0.9,3
013951,WHYTE & MACKAY,,123,Whyte & Mackay Whisky,,1.0,1
019832,WRAY & NEPHEW RUM,,305,Wray & Nephew 70cl Bottle,,1.0,1
037851,ZINF HILMASPRINGS BOT,,106,Hilmar Springs White Zinfandel 750ml Bottle,,0.9,1
